row_id,configuration,status,run_id,git_sha,phase3_config_hash,eval_split,eval_scope_kind,eval_scope_sha256,question_count,corpus_document_count,chunk_count,chunk_config_hash,embedding_model,embedding_revision,embedding_identity,index_identity,retrieval,candidate_k,doc_recall_at_10,doc_recall_at_50,doc_mrr,doc_ndcg_at_10,precision_at_5,refusal_metric,retrieval_latency_p50_ms,retrieval_latency_p95_ms,query_embedding_latency_p50_ms,search_latency_p50_ms,index_size_bytes,notes
0,vector_baseline_phase1,trusted_baseline,28547fec-af47-43f4-b995-e02af858b20d,f052b7d506f7cc00cf594e5c2374368382f41543,18acae71fab0e7ffa4209da2530f26904cecc9dcb9b2c5e32cd791e5fd4a26e4,dev,fixed_evaluable_subset_v1,78980d25fa4a0a4971fcc356449ec5453d425a52c9e43d63a88a2c3fae532f68,89,1493,162357,f1dc04d4b748a0f27cd80acb993b258b9f4dbaebe0093b34475d23fc1ab52bcd,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,b39a67c9eb6487fc98f266f23742afd0a30321d98067505802a1e219b27bec84,ace70ee67d8e98e019d221f2a0215a5b88498a0fc5dcbe73ac7ef1277630b111,vector_exact_cosine,50,0.9213483146067416,0.9550561797752809,0.805056179775281,0.8332079934913641,N/A,N/A,233.257,268.608,25.015,206.184,493179047,"Pre-optimization Phase 1 architecture; DEV/evaluable-subset (Option A, 89q); generation disabled."
A1,fixed_256_overlap_0,phase3_2_ablation,phase3_2_A1_607018c20df8,607018c20df86fee9c8221055854591d46d589e8,f199c8817cf60485c3cacc4b26c39ef9d768ce2c632dc91b03134ab90e2ff94a,dev,fixed_evaluable_subset_v1,78980d25fa4a0a4971fcc356449ec5453d425a52c9e43d63a88a2c3fae532f68,89,1500,323971,ba99e2f7861c48bc66b1c3078341fa2305f9d3888df9a4d0ce03b91b58e32b06,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,N/A,N/A,vector_exact_cosine,50,0.9325842696629213,0.9775280898876404,0.7984216158373462,0.8319952956009014,N/A,N/A,351.94,403.903,18.309,333.17,744427913,"Task 3.2 A: window=256, overlap=0, split_mode=fixed."
A2,fixed_1024_overlap_0_encoder_truncates_at_512,phase3_2_ablation,phase3_2_A2_607018c20df8,607018c20df86fee9c8221055854591d46d589e8,f199c8817cf60485c3cacc4b26c39ef9d768ce2c632dc91b03134ab90e2ff94a,dev,fixed_evaluable_subset_v1,78980d25fa4a0a4971fcc356449ec5453d425a52c9e43d63a88a2c3fae532f68,89,1500,81551,dc475af263dda5a140ec14eb904ac72fbdeaced3e9c2fdec8517f29b008db764,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,N/A,N/A,vector_exact_cosine,50,0.8651685393258427,0.9325842696629213,0.7375601926163724,0.7683284675330851,N/A,N/A,131.072,149.091,18.292,113.352,368490661,"Task 3.2 A: window=1024, overlap=0, split_mode=fixed. BAAI/bge-small-en-v1.5 has a 512-token effective passage-embedding limit (sentence_bert_config.json max_seq_length=512, tokenizer_config.json model_max_length=512, BertModel max_position_embeddings=512 - all verified against the cached model, not assumed). Verified empirically: SentenceTransformer.encode() silently truncates to the first 512 tokens (including [CLS]/[SEP]); the embedding of a chunk longer than that is bit-identical to the embedding of its first ~510-content-token prefix. This 1024-token chunk configuration is therefore NOT a lossless 1024-token embedding experiment - only the truncated prefix contributes to the vector, though the full chunk text is preserved in the chunk artifact for inspection."
B1,fixed_256_overlap_32,phase3_2_ablation,phase3_2_B1_607018c20df8,607018c20df86fee9c8221055854591d46d589e8,f199c8817cf60485c3cacc4b26c39ef9d768ce2c632dc91b03134ab90e2ff94a,dev,fixed_evaluable_subset_v1,78980d25fa4a0a4971fcc356449ec5453d425a52c9e43d63a88a2c3fae532f68,89,1500,369947,aa77aa0866cac33e17efb7b402903348c1fe00ba7b3c61546d21187769b8b4e1,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,N/A,N/A,vector_exact_cosine,50,0.9101123595505618,0.9887640449438202,0.7637640449438203,0.7987891490699285,N/A,N/A,388.93,422.591,18.004,369.467,849170125,"Task 3.2 B: window=256, overlap=32, split_mode=fixed."
B2,fixed_256_overlap_64,phase3_2_ablation,phase3_2_B2_607018c20df8,607018c20df86fee9c8221055854591d46d589e8,f199c8817cf60485c3cacc4b26c39ef9d768ce2c632dc91b03134ab90e2ff94a,dev,fixed_evaluable_subset_v1,78980d25fa4a0a4971fcc356449ec5453d425a52c9e43d63a88a2c3fae532f68,89,1500,431210,73925e758e5a09ddb730dc3fc419732826b137b255fcc07f998fcc12d35078e4,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,N/A,N/A,vector_exact_cosine,50,0.898876404494382,0.9775280898876404,0.7742643124665598,0.8043556144604017,N/A,N/A,438.677,473.801,19.17,418.155,991070406,"Task 3.2 B: window=256, overlap=64, split_mode=fixed."
C1,section_aware_256_overlap_0,phase3_2_ablation,phase3_2_C1_607018c20df8,607018c20df86fee9c8221055854591d46d589e8,f199c8817cf60485c3cacc4b26c39ef9d768ce2c632dc91b03134ab90e2ff94a,dev,fixed_evaluable_subset_v1,78980d25fa4a0a4971fcc356449ec5453d425a52c9e43d63a88a2c3fae532f68,89,1500,341822,fabdf09f0d93b2ea6850b363e51a14d1e518d97e1d9c1820f1d54cc26f2b24e4,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,N/A,N/A,vector_exact_cosine,50,0.9325842696629213,0.9775280898876404,0.778214731585518,0.8155028543784841,N/A,N/A,237.422,309.636,16.197,223.223,771301132,"Task 3.2 C: window=256, overlap=0, split_mode=section_aware."
bge_small,embedding_bge_small,phase3_3_embedding_benchmark,1e6f2fb1-3bae-4a7e-a559-3e700b3beebf,a17bf31cbb30b2a6f5f20fd0a317d3c4601a4dad,bc14e31475e288ea000c046e51a551c3d2216b35f2e9581bcde86d8378b107ef,dev,fixed_evaluable_subset_v1,78980d25fa4a0a4971fcc356449ec5453d425a52c9e43d63a88a2c3fae532f68,89,1493,323971,ba99e2f7861c48bc66b1c3078341fa2305f9d3888df9a4d0ce03b91b58e32b06,BAAI/bge-small-en-v1.5,5c38ec7c405ec4b44b94cc5a9bb96e735b38267a,b39a67c9eb6487fc98f266f23742afd0a30321d98067505802a1e219b27bec84,96eea1aa043e162c06355cc4654d159c01ca921c36be429da87888aef8452902,vector_exact_cosine,50,0.9325842696629213,0.9775280898876404,0.7984216158373462,0.8319952956009014,N/A,N/A,370.236,530.165,18.433,353.406,744427913,"Task 3.3: dim=384, normalize=True, query_convention='prepend:Represent this sentence for searching relevant passages: ', passage_convention='raw_text_no_instruction', pooling=cls, trust_remote_code=False, license=mit. CONTROL (reused Task 3.2 artifacts, not rebuilt)."
bge_base,embedding_bge_base,phase3_3_embedding_benchmark,4c944980-fe8a-4f98-a1e1-eafcaa43e1fe,9bcd92e33a0b0e596a39da698d49988efd2d5e11,bc14e31475e288ea000c046e51a551c3d2216b35f2e9581bcde86d8378b107ef,dev,fixed_evaluable_subset_v1,78980d25fa4a0a4971fcc356449ec5453d425a52c9e43d63a88a2c3fae532f68,89,1493,323971,ba99e2f7861c48bc66b1c3078341fa2305f9d3888df9a4d0ce03b91b58e32b06,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,5cce1109bb0962f21891023c63ab4c0e471cc73a57f9e0f172b9ab616a2c8182,c92e7bc0c1b139bc35e59feb98ddfb5aa55f3eae1d1727c7da517e9ea6fae48d,vector_exact_cosine,50,0.9438202247191011,0.9887640449438202,0.8702247191011236,0.888798965019513,N/A,N/A,491.194,531.534,52.454,446.034,1241487439,"Task 3.3: dim=768, normalize=True, query_convention='prepend:Represent this sentence for searching relevant passages: ', passage_convention='raw_text_no_instruction', pooling=cls, trust_remote_code=False, license=mit."
nomic_embed,embedding_nomic_embed,phase3_3_embedding_benchmark,eacfaf2d-1b9b-42f0-a140-5116f96eb3db,9bcd92e33a0b0e596a39da698d49988efd2d5e11,bc14e31475e288ea000c046e51a551c3d2216b35f2e9581bcde86d8378b107ef,dev,fixed_evaluable_subset_v1,78980d25fa4a0a4971fcc356449ec5453d425a52c9e43d63a88a2c3fae532f68,89,1493,323971,ba99e2f7861c48bc66b1c3078341fa2305f9d3888df9a4d0ce03b91b58e32b06,nomic-ai/nomic-embed-text-v1.5,e9b6763023c676ca8431644204f50c2b100d9aab,f849e326bfef7bbcf1cee256e3fb2d31dae999e6b7a13075d80820d3abc7ce3e,aaa23ad911a6e6ad9205132ecca6d7fe3e1839384b3d328db5503a4b7a545244,vector_exact_cosine,50,0.9662921348314607,0.9887640449438202,0.887952559300874,0.9076308380034721,N/A,N/A,441.351,482.212,14.81,424.055,1242316495,"Task 3.3: dim=768, normalize=True, query_convention='prepend:search_query: ', passage_convention='prepend:search_document: ', pooling=mean, trust_remote_code=False, license=apache-2.0."
qwen3_embedding,embedding_qwen3_embedding,phase3_3_embedding_benchmark,48a2594b-78a5-447c-811c-f1d5ed7e8324,ad91562634b5d9fc5edc1bc8ed066184b0ee51fe,bc14e31475e288ea000c046e51a551c3d2216b35f2e9581bcde86d8378b107ef,dev,fixed_evaluable_subset_v1,78980d25fa4a0a4971fcc356449ec5453d425a52c9e43d63a88a2c3fae532f68,89,1493,323971,ba99e2f7861c48bc66b1c3078341fa2305f9d3888df9a4d0ce03b91b58e32b06,Qwen/Qwen3-Embedding-0.6B,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,de63fd5c9047e7cd6ae8d45e747288cad864e6c81f020729b812a8ec20cec5fe,c532896a0bdf17d10acc0549bacc2ba3776609b0f56f374dcb2c8a8ec7c9b64c,vector_exact_cosine,50,0.9887640449438202,1.0,0.9251382200820403,0.9406706590441349,N/A,N/A,588.466,664.113,42.066,544.587,1572353043,"Task 3.3: dim=1024, normalize=True, query_convention='prepend:Instruct: Given a web search query, retrieve relevant passages that answer the query\nQuery:', passage_convention='raw_text_no_instruction', pooling=last_token, trust_remote_code=False, license=apache-2.0. SELECTED AS TASK 3.3 WINNER (see results/phase_3_3_round_decision.json)."
